Episode 151 Start: (0.0, -0.0)
Episode 151 Reward: -1.8095311888736951, Distance Reached: 0.19
Episode 152 Start: (0.0, -0.0)
Episode 152 Reward: -2.4460209196302256, Distance Reached: 0.25
Episode 153 Start: (0.0, -0.0)
Episode 153 Reward: -2.531185319392243, Distance Reached: 0.02
Episode 154 Start: (0.0, -0.0)
Episode 154 Reward: 0.6287994645708719, Distance Reached: 1.44
Episode 155 Start: (0.0, -0.0)
Episode 155 Reward: -1.6717919799760899, Distance Reached: 0.46
Episode 156 Start: (0.0, -0.0)
Episode 156 Reward: -2.1031326409466633, Distance Reached: 0.21
Episode 157 Start: (0.0, -0.0)
Episode 157 Reward: -1.4684853012530952, Distance Reached: 0.58
Episode 158 Start: (0.0, -0.0)
Episode 158 Reward: 1.230130754485189, Distance Reached: 1.59
Episode 159 Start: (0.0, -0.0)
Episode 159 Reward: -1.8466054394766642, Distance Reached: 0.43
Episode 160 Start: (0.0, -0.0)
Episode 160 Reward: 1.0841169212756174, Distance Reached: 1.47
Episode 161 Start: (0.0, -0.0)
Episode 161 Reward: -1.817784395110904, Distance Reached: 1.3
Episode 162 Start: (0.0, -0.0)
Episode 162 Reward: -1.2331357490825106, Distance Reached: 1.11
Episode 163 Start: (0.0, -0.0)
Episode 163 Reward: -1.445623375522197, Distance Reached: 0.77
Episode 164 Start: (0.0, -0.0)
Episode 164 Reward: -1.5739562076654248, Distance Reached: 0.46
Episode 165 Start: (0.0, -0.0)
Episode 165 Reward: -2.5133451765464376, Distance Reached: 0.32
Episode 166 Start: (0.0, -0.0)
Episode 166 Reward: 1.037436617125744, Distance Reached: 1.48
Episode 167 Start: (0.0, -0.0)
Episode 167 Reward: -1.9188637109526008, Distance Reached: 0.16
Episode 168 Start: (0.0, -0.0)
Episode 168 Reward: -1.562975292327011, Distance Reached: 0.53
Episode 169 Start: (0.0, -0.0)
Episode 169 Reward: -2.165889752106543, Distance Reached: 0.43
Episode 170 Start: (0.0, -0.0)
Episode 170 Reward: 0.563867747931626, Distance Reached: 0.71
Episode 171 Start: (0.0, -0.0)
Episode 171 Reward: -2.052299738498909, Distance Reached: 0.37
Episode 172 Start: (0.0, -0.0)
Episode 172 Reward: -2.475018040263638, Distance Reached: 0.64
Episode 173 Start: (0.0, -0.0)
Episode 173 Reward: -1.7767529781299447, Distance Reached: 0.44
Episode 174 Start: (0.0, -0.0)
Episode 174 Reward: -2.6289026372282, Distance Reached: 0.45
Episode 175 Start: (0.0, -0.0)
Episode 175 Reward: -2.1927365274744823, Distance Reached: 0.06
Episode 176 Start: (0.0, -0.0)
Episode 176 Reward: -2.4369068823375097, Distance Reached: 0.04
Episode 177 Start: (0.0, -0.0)
Episode 177 Reward: -2.478230013449205, Distance Reached: 0.04
Episode 178 Start: (0.0, -0.0)
Episode 178 Reward: -1.8375641947230221, Distance Reached: 0.37
Episode 179 Start: (0.0, -0.0)
Episode 179 Reward: -1.9662095649640963, Distance Reached: 0.49
Episode 180 Start: (0.0, -0.0)
Episode 180 Reward: 0.34224495335945887, Distance Reached: 1.2
Episode 181 Start: (0.0, -0.0)
Episode 181 Reward: 0.7033065285692788, Distance Reached: 0.91
